       YOUNG            POISSON              MIN_Q             MAX_Q
   9.9999998E-03     0.1390000          0.000000         0.9906271    
   2.7825594E-02     0.1390000          0.000000         0.9906271    
   7.7426367E-02     0.1390000          0.000000         0.9906271    
   0.2154434         0.1390000          0.000000         0.9906271    
   0.5994842         0.1390000          0.000000         0.9906271    
    1.668100         0.1390000          0.000000         0.9906271    
    4.641588         0.1390000          0.000000         0.9906271    
    12.91549         0.1390000          0.000000         0.9906271    
    35.93813         0.1390000          0.000000         0.9906271    
    99.99998         0.1390000          0.000000         0.9906271    
   9.9999998E-03     0.1780000          0.000000         0.9906271    
   2.7825594E-02     0.1780000          0.000000         0.9906271    
   7.7426367E-02     0.1780000          0.000000         0.9906273    
   0.2154434         0.1780000          0.000000         0.9906271    
   0.5994842         0.1780000          0.000000         0.9906271    
    1.668100         0.1780000          0.000000         0.9906271    
    4.641588         0.1780000          0.000000         0.9906271    
    12.91549         0.1780000          0.000000         0.9906271    
    35.93813         0.1780000          0.000000         0.9906271    
    99.99998         0.1780000          0.000000         0.9906271    
   9.9999998E-03     0.2170000          0.000000         0.9906273    
   2.7825594E-02     0.2170000          0.000000         0.9906273    
   7.7426367E-02     0.2170000          0.000000         0.9906273    
   0.2154434         0.2170000          0.000000         0.9906273    
   0.5994842         0.2170000          0.000000         0.9906273    
    1.668100         0.2170000          0.000000         0.9906273    
    4.641588         0.2170000          0.000000         0.9906271    
    12.91549         0.2170000          0.000000         0.9906271    
    35.93813         0.2170000          0.000000         0.9906271    
    99.99998         0.2170000          0.000000         0.9906273    
   9.9999998E-03     0.2560000          0.000000         0.9906271    
   2.7825594E-02     0.2560000          0.000000         0.9906272    
   7.7426367E-02     0.2560000          0.000000         0.9906271    
   0.2154434         0.2560000          0.000000         0.9906271    
   0.5994842         0.2560000          0.000000         0.9906272    
    1.668100         0.2560000          0.000000         0.9906271    
    4.641588         0.2560000          0.000000         0.9906271    
    12.91549         0.2560000          0.000000         0.9906271    
    35.93813         0.2560000          0.000000         0.9906272    
    99.99998         0.2560000          0.000000         0.9906272    
   9.9999998E-03     0.2950000          0.000000         0.9906272    
   2.7825594E-02     0.2950000          0.000000         0.9906273    
   7.7426367E-02     0.2950000          0.000000         0.9906273    
   0.2154434         0.2950000          0.000000         0.9906273    
   0.5994842         0.2950000          0.000000         0.9906273    
    1.668100         0.2950000          0.000000         0.9906273    
    4.641588         0.2950000          0.000000         0.9906273    
    12.91549         0.2950000          0.000000         0.9906273    
    35.93813         0.2950000          0.000000         0.9906273    
    99.99998         0.2950000          0.000000         0.9906273    
   9.9999998E-03     0.3340000          0.000000         0.9906273    
   2.7825594E-02     0.3340000          0.000000         0.9906273    
   7.7426367E-02     0.3340000          0.000000         0.9906273    
   0.2154434         0.3340000          0.000000         0.9906273    
   0.5994842         0.3340000          0.000000         0.9906273    
    1.668100         0.3340000          0.000000         0.9906273    
    4.641588         0.3340000          0.000000         0.9906273    
    12.91549         0.3340000          0.000000         0.9906273    
    35.93813         0.3340000          0.000000         0.9906273    
    99.99998         0.3340000          0.000000         0.9906273    
   9.9999998E-03     0.3730000          0.000000         0.9906274    
   2.7825594E-02     0.3730000          0.000000         0.9906275    
   7.7426367E-02     0.3730000          0.000000         0.9906275    
   0.2154434         0.3730000          0.000000         0.9906275    
   0.5994842         0.3730000          0.000000         0.9906275    
    1.668100         0.3730000          0.000000         0.9906275    
    4.641588         0.3730000          0.000000         0.9906273    
    12.91549         0.3730000          0.000000         0.9906275    
    35.93813         0.3730000          0.000000         0.9906275    
    99.99998         0.3730000          0.000000         0.9906273    
   9.9999998E-03     0.4120000          0.000000         0.9906275    
   2.7825594E-02     0.4120000          0.000000         0.9906275    
   7.7426367E-02     0.4120000          0.000000         0.9906275    
   0.2154434         0.4120000          0.000000         0.9906275    
   0.5994842         0.4120000          0.000000         0.9906275    
    1.668100         0.4120000          0.000000         0.9906275    
    4.641588         0.4120000          0.000000         0.9906275    
    12.91549         0.4120000          0.000000         0.9906275    
    35.93813         0.4120000          0.000000         0.9906275    
    99.99998         0.4120000          0.000000         0.9906275    
   9.9999998E-03     0.4510000          0.000000         0.9906275    
   2.7825594E-02     0.4510000          0.000000         0.9906275    
   7.7426367E-02     0.4510000          0.000000         0.9906275    
   0.2154434         0.4510000          0.000000         0.9906275    
   0.5994842         0.4510000          0.000000         0.9906275    
    1.668100         0.4510000          0.000000         0.9906275    
    4.641588         0.4510000          0.000000         0.9906275    
    12.91549         0.4510000          0.000000         0.9906275    
    35.93813         0.4510000          0.000000         0.9906275    
    99.99998         0.4510000          0.000000         0.9906275    
   9.9999998E-03     0.4900000          0.000000         0.9906275    
   2.7825594E-02     0.4900000          0.000000         0.9906276    
   7.7426367E-02     0.4900000          0.000000         0.9906276    
   0.2154434         0.4900000          0.000000         0.9906276    
   0.5994842         0.4900000          0.000000         0.9906276    
    1.668100         0.4900000          0.000000         0.9906276    
    4.641588         0.4900000          0.000000         0.9906275    
    12.91549         0.4900000          0.000000         0.9906276    
    35.93813         0.4900000          0.000000         0.9906276    
    99.99998         0.4900000          0.000000         0.9906275    
